#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
Swaption_1_19,Swaption,2036-03-03,20.073770,403938.044391,EUR,403938.044391,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_2_18,Swaption,2036-03-03,20.073770,519067.304840,EUR,519067.304840,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_3_17,Swaption,2036-03-03,20.073770,585142.974128,EUR,585142.974128,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_4_16,Swaption,2036-03-03,20.073770,610394.026130,EUR,610394.026130,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_5_15,Swaption,2036-03-03,20.073770,621648.854803,EUR,621648.854803,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_6_14,Swaption,2036-03-03,20.073770,632715.298537,EUR,632715.298537,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_7_13,Swaption,2036-03-03,20.073770,627452.535771,EUR,627452.535771,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_8_12,Swaption,2036-03-03,20.073770,628914.359330,EUR,628914.359330,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_9_11,Swaption,2036-03-03,20.073770,620106.301640,EUR,620106.301640,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_10_10,Swaption,2036-03-03,20.073770,603155.045252,EUR,603155.045252,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_11_9,Swaption,2036-03-03,20.073770,574154.169267,EUR,574154.169267,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_12_8,Swaption,2036-03-03,20.073770,537802.410440,EUR,537802.410440,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_13_7,Swaption,2036-03-03,20.073770,499176.393532,EUR,499176.393532,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_14_6,Swaption,2036-03-03,20.073770,438799.092304,EUR,438799.092304,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_15_5,Swaption,2036-03-03,20.073770,374238.768035,EUR,374238.768035,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_16_4,Swaption,2036-03-03,20.073770,319920.003644,EUR,319920.003644,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_17_3,Swaption,2036-03-03,20.073770,246172.212979,EUR,246172.212979,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_18_2,Swaption,2036-03-03,20.073770,167252.925613,EUR,167252.925613,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_19_1,Swaption,2036-03-03,20.073770,83177.818364,EUR,83177.818364,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
